model,epoch,train_loss,val_loss
ResNet34 + UNet++,29,0.365679,0.329533
ResNet34 + UNet++,30,0.380501,0.332594
ResNet34 + UNet++,31,0.377342,0.332107
ResNet34 + UNet++,32,0.390190,0.336465
ResNet34 + UNet++,33,0.377289,0.325920
ResNet34 + UNet++,34,0.360223,0.330535
ResNet34 + UNet++,35,0.327897,0.332978
ResNet34 + UNet++,36,0.366069,0.323173
ResNet34 + UNet++,37,0.359941,0.322693
ResNet34 + UNet++,38,0.364442,0.321653
ResNet34 + UNet++,39,0.340361,0.333343
ResNet34 + UNet++,40,0.348487,0.325844
ResNet34 + UNet++,41,0.345986,0.319710
ResNet34 + UNet++,42,0.354594,0.322082
ResNet34 + UNet++,43,0.349724,0.315305
ResNet34 + UNet++,44,0.317508,0.319648
ResNet34 + UNet++,45,0.335833,0.322118
ResNet34 + UNet++,46,0.340599,0.316664
ResNet34 + UNet++,47,0.323740,0.316146
ResNet34 + UNet++,48,0.379171,0.325185
ResNet34 + UNet++,49,0.357538,0.316067
ResNet34 + UNet++,50,0.364681,0.314066
ResNet34 + UNet++,51,0.339455,0.313291
ResNet34 + UNet++,52,0.324586,0.310013
ResNet34 + UNet++,53,0.328319,0.311528
ResNet34 + UNet++,54,0.304618,0.317816
ResNet34 + UNet++,55,0.328521,0.317506
ResNet34 + UNet++,56,0.354926,0.310893
ResNet34 + UNet++,57,0.324928,0.312168
ResNet34 + UNet++,58,0.338890,0.308711
ResNet34 + UNet++,59,0.363352,0.311460
ResNet34 + UNet++,60,0.322618,0.314341
ResNet34 + UNet++,61,0.329342,0.305950
ResNet34 + UNet++,62,0.335351,0.306571
ResNet34 + UNet++,63,0.300062,0.306952
ResNet34 + UNet++,64,0.316622,0.307061
ResNet34 + UNet++,65,0.340264,0.308401
ResNet34 + UNet++,66,0.319064,0.304942
ResNet34 + UNet++,67,0.323807,0.304139
ResNet34 + UNet++,68,0.333087,0.308096
ResNet34 + UNet++,69,0.320576,0.312824
