group,sample_id,Unified,Monocot,Dicot
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_11,0.915114,0.912443,0.591829
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_13,0.854657,0.838157,0.693529
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_16,0.899586,0.900657,0.667429
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_A10,0.949367,0.752400,0.947433
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_A12ROI1,0.944767,0.790767,0.944450
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_A6,0.946317,0.844033,0.943367
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_A8ROI1,0.955133,0.798783,0.952383
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_A9,0.944750,0.780733,0.938650
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_B1ROI1,0.941333,0.771483,0.936867
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_C12ROI1,0.946050,0.752083,0.939000
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_D8,0.950600,0.812650,0.946417
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_G12ROI1,0.951983,0.751017,0.947383
Dicots in - In-distribution Test,Tomato_C10_Exp3_M82_WT_H5ROI1,0.962600,0.776267,0.963050
Dicots in - In-distribution Test,Tomato_Olympus_Exp10_Suberin_mutants_1-12_02,0.950583,0.652629,0.949883
Dicots in - In-distribution Test,Tomato_Olympus_Exp10_Suberin_mutants_1-12_33,0.932600,0.698700,0.935433
Dicots in - In-distribution Test,Tomato_Olympus_Exp10_Suberin_mutants_1-12_43,0.957217,0.600357,0.955167
Dicots in - In-distribution Test,Tomato_Olympus_Exp11_Suberin_mutants_11-20_10,0.964200,0.634214,0.960617
Dicots in - In-distribution Test,Tomato_Olympus_Exp11_Suberin_mutants_11-20_21,0.943450,0.610543,0.941617
Dicots in - In-distribution Test,Tomato_Olympus_Exp12_Suberin_mutants_13-24_19,0.913117,0.576943,0.919217
Dicots in - In-distribution Test,Tomato_Olympus_Exp13_Suberin_mutants_21-30_07,0.949283,0.750000,0.934917
Dicots in - In-distribution Test,Tomato_Olympus_Exp14_Suberin_mutants_31-40_04,0.949783,0.605329,0.947817
Dicots in - In-distribution Test,Tomato_Olympus_Exp14_Suberin_mutants_31-40_27,0.960217,0.649214,0.959867
Dicots in - In-distribution Test,Tomato_Olympus_Exp16_WT_13_03,0.952967,0.643900,0.949967
Dicots in - In-distribution Test,Tomato_Olympus_Exp16_WT_23_03,0.925033,0.618557,0.924233
Dicots in - In-distribution Test,Tomato_Olympus_Exp16_WT_32_03,0.955833,0.824433,0.956167
Dicots in - In-distribution Test,Tomato_Olympus_Exp16_WT_8_01,0.942400,0.596557,0.941067
Dicots in - In-distribution Test,Tomato_Olympus_Exp18_WT_38_07,0.963600,0.672486,0.953233
Dicots in - In-distribution Test,Tomato_Olympus_Exp19_WT_55_24-03,0.954250,0.615757,0.946367
