species,GT_aerenchyma_ratio,GT_exodermis_TRITC,GT_exodermis_FITC,GT_endodermis_TRITC,GT_endodermis_FITC,Pred_aerenchyma_ratio,Pred_exodermis_TRITC,Pred_exodermis_FITC,Pred_endodermis_TRITC,Pred_endodermis_FITC
Sorghum,0.343674624,681.9603271,1587.056152,2459.502197,5984.916016,0.263524796,680.2166138,1565.390381,2445.413086,5923.65918
Sorghum,0.292632936,3602.737549,1897.177612,12694.67969,19911.67773,0.243185185,3439.936279,1792.727295,12567.75391,19631.31445
Sorghum,0.200808276,9603.568359,5188.30127,26627.16992,40652.53906,0.261460499,9657.586914,5196.849609,27086.38867,40904.42578
Sorghum,0.293574038,1523.4021,2881.98584,5050.695313,11389.18652,0.225692593,1502.2052,2936.902588,5009.156738,11313.63672
Sorghum,0.309462806,1406.923096,1619.460083,4779.640137,7625.988281,0.229131429,1396.459351,1638.9646,4769.227051,7620.856934
Sorghum,0.282500236,1145.891235,2021.361084,4112.842773,7690.208496,0.228094332,1134.890259,2076.029053,4081.089844,7661.646484
Sorghum,0.396006356,2087.647705,1759.757202,5657.13916,9573.871094,0.313153018,2058.738281,1787.68335,5587.710938,9510.314453
Sorghum,0.316865304,6902.440918,4824.658691,23963.51563,29502.68359,0.310536291,7090.907227,4912.839355,23868.92383,29224.98828
Sorghum,0.384089398,2320.454834,2201.056396,6288.223633,9910.961914,0.300326324,2282.153809,2200.100342,6198.862305,9852.743164
Sorghum,0.284337201,13085.15234,8417.205078,33196.39063,40423.08203,0.246339094,13669.66406,8607.632813,33069.25,40650.09766
Sorghum,0.365120068,1611.692505,2210.015625,4146.786133,9610.874023,0.280924027,1599.060181,2207.387939,4113.857422,9533.280273
Sorghum,0.391166696,8623.033203,4079.088623,21704.28711,23841.21094,0.322360659,8737.522461,4152.991211,21581.54492,23763.51563
Sorghum,0.346343789,1986.873291,1931.894287,5050.716797,8471.244141,0.255921999,1972.832153,1928.987061,5019.551758,8435.211914
Sorghum,0.34171662,2159.319092,4234.158203,4713.35791,7788.099609,0.270207685,2173.243164,4241.297363,4789.832031,7794.83252
Sorghum,0.0,6558.372559,6013.808105,10973.80176,11120.65723,0.0,6193.062012,5776.336914,10768.28223,10877.72363
Sorghum,0.260957548,11110.67578,10207.09375,22524.25391,27828.45117,0.21826903,11142.75,10151.75391,22691.89844,27786.11133
Sorghum,0.0,7774.503906,7241.513184,12672.0293,7773.087402,0.0,7755.218262,7300.804688,12826.54883,7843.918945
Sorghum,0.0,1756.7771,4414.078613,3384.175293,3788.677734,0.000995877,1734.481812,4483.461426,3413.825928,3813.376709
Sorghum,0.383836345,2628.243408,3480.99292,5263.046875,8070.647949,0.302080635,2572.346436,3497.751709,5318.205078,8021.831055
Sorghum,0.01849977,1196.492188,4979.971191,2394.974609,3446.914551,0.006354318,1195.758789,5013.260742,2395.193359,3403.647705
Sorghum,0.254013318,9318.681641,6102.102539,19340.99414,17860.95117,0.175258857,9466.130859,6179.591797,19045.67188,17888.66406
Solanum,,7970.07666,5360.279785,13068.07715,7291.79541,,7982.778809,5356.45459,13154.93359,7398.951172
Solanum,,4985.744141,2779.201172,9810.918945,5367.681152,,4998.348633,2791.997803,9810.883789,5383.359375
Solanum,,6906.76123,3092.938232,18351.25781,7785.806641,,7286.128906,3268.76001,18800.78516,7932.327148
Solanum,,4970.108398,3359.195068,11341.60938,6554.746094,,4996.426758,3375.998291,11121.36719,6184.143555
Solanum,,4186.330566,2697.484863,9394.727539,5285.685059,,4182.296875,2697.528564,9345.327148,5288.158203
Solanum,,3896.305908,2339.335693,14370.83008,6176.263672,,3909.423096,2325.652344,14201.85938,6158.921875
Solanum,,13859.20801,9386.125977,14650.01172,9266.02832,,13829.47949,9389.233398,14650.01172,9266.02832
Solanum,,13409.64941,11586.72363,14669.0,9685.489258,,13401.77832,11592.47949,14669.0,9685.239258
Solanum,,12322.8291,9466.379883,16262.33398,9365.789063,,12252.01563,9400.462891,16262.33398,9366.771484
Solanum,,13340.13184,12805.97754,15338.62402,10144.69238,,13273.80566,12801.4541,15338.62402,10119.91797
Solanum,,13529.28027,11370.65234,16423.35742,9698.213867,,13458.66797,11409.58105,16423.35742,9700.120117
Solanum,,13009.67383,9467.34375,14201.59277,9244.402344,,13003.39258,9428.310547,14201.59277,9233.94043
Solanum,,12555.77637,8030.19043,11923.02832,9538.273438,,12535.98926,8034.789063,11923.02832,9538.796875
Solanum,,12807.83984,9877.676758,15481.23633,9378.0,,12872.98145,9894.375977,15481.23633,9378.0
Solanum,,13713.49414,9918.749023,15983.25879,9247.574219,,13702.21387,9901.797852,15983.25879,9240.966797
Solanum,,14069.72949,11100.94727,16295.55469,9722.830078,,14104.94434,11118.00684,16295.55469,9720.885742
Solanum,,5096.630859,4092.761963,7532.712891,2448.753662,,5116.802246,4081.849609,7621.303711,2430.136719
Solanum,,9939.041992,5258.155273,18076.61523,7673.563477,,9824.819336,5198.549805,18007.95508,7630.98291
Solanum,,8993.851563,5200.00293,18068.49219,9153.829102,,8893.633789,5158.471191,18017.14844,9100.883789
Solanum,,10832.62598,6930.939453,18391.10742,9746.766602,,10797.83301,6934.285156,18391.10742,9664.712891
