sample_id,species,microscope,experiment,Epidermis_IoU,Epidermis_Dice,Exodermis_IoU,Exodermis_Dice,Cortex_IoU,Cortex_Dice,Aerenchyma_IoU,Aerenchyma_Dice,Endodermis_IoU,Endodermis_Dice,Vascular_IoU,Vascular_Dice,mean_IoU,mean_Dice,split
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_03,Rice,Olympus,Exp10,0.7256,0.841,0.8988,0.9467,0.9788,0.9893,0.8776,0.9348,0.9024,0.9487,0.9787,0.9892,0.8937,0.9416,test
Sorghum_Olympus_Exp75_PDB161_09,Sorghum,Olympus,Exp75,0.8532,0.9208,0.92,0.9583,0.9916,0.9958,0.6538,0.7907,0.9339,0.9658,0.9897,0.9948,0.8904,0.9377,test
Millet_Olympus_Exp4_1-2cm__72,Millet,Olympus,Exp4,0.9013,0.9481,0.9601,0.9796,0.9786,0.9892,0.5839,0.7373,0.9494,0.974,0.9858,0.9928,0.8932,0.9368,test
Rice_C10_Exp7_PSY17-4-d,Rice,C10,Exp7,0.9177,0.9571,0.9409,0.9695,0.9855,0.9927,0.7484,0.8561,0.8197,0.9009,0.9577,0.9784,0.8950,0.9425,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_06,Rice,Olympus,Exp10,0.783,0.8783,0.9139,0.955,0.9912,0.9956,0.7878,0.8813,0.9189,0.9577,0.9839,0.9919,0.8965,0.9433,test
Sorghum_C10_Exp4_E2,Sorghum,C10,Exp4,0.8047,0.8918,0.9091,0.9524,0.9842,0.9921,0.8641,0.9271,0.8629,0.9264,0.9726,0.9861,0.8996,0.9460,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_02,Rice,Olympus,Exp10,0.8355,0.9104,0.9461,0.9723,0.9883,0.9941,0.8359,0.9106,0.8675,0.9291,0.9186,0.9576,0.8986,0.9457,test
Tomato_Olympus_Exp12_Suberin_mutants_13-24_19,Solanum,Olympus,Exp12,0.8735,0.9325,0.9508,0.9748,0.9443,0.9713,,,0.8464,0.9168,0.8758,0.9338,0.8982,0.9458,test
Sorghum_Olympus_Exp74_PDB143_15,Sorghum,Olympus,Exp74,0.8823,0.9375,0.9252,0.9611,0.985,0.9924,0.6734,0.8048,0.9485,0.9736,0.9917,0.9958,0.9010,0.9442,test
Millet_Olympus_Exp4_1-2cm__63,Millet,Olympus,Exp4,0.8706,0.9308,0.9607,0.98,0.9758,0.9878,0.7579,0.8623,0.8828,0.9377,0.9644,0.9819,0.9020,0.9468,test
Sorghum_Olympus_Exp100_LLC2960_20,Sorghum,Olympus,Exp100,0.8508,0.9194,0.9382,0.9681,0.9885,0.9942,0.7056,0.8274,0.9385,0.9683,0.989,0.9945,0.9018,0.9453,test
Sorghum_Olympus_Exp88_N3_19,Sorghum,Olympus,Exp88,0.8353,0.9103,0.9417,0.97,0.9919,0.996,0.7217,0.8384,0.932,0.9648,0.9897,0.9948,0.9021,0.9457,test
Sorghum_Olympus_Exp94_LLC3456_11,Sorghum,Olympus,Exp94,0.8123,0.8964,0.9165,0.9564,0.9861,0.993,0.7754,0.8735,0.9392,0.9687,0.9897,0.9948,0.9032,0.9471,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_05,Rice,Olympus,Exp10,0.8272,0.9054,0.9625,0.9809,0.9937,0.9968,0.7346,0.847,0.9251,0.9611,0.9834,0.9916,0.9044,0.9471,test
Sorghum_Olympus_Exp94_LLC3456_06,Sorghum,Olympus,Exp94,0.8296,0.9068,0.9218,0.9593,0.9851,0.9925,0.7596,0.8634,0.9468,0.9727,0.9891,0.9945,0.9053,0.9482,test
Sorghum_Olympus_Exp100_LLC2960_13,Sorghum,Olympus,Exp100,0.8419,0.9142,0.9438,0.9711,0.9897,0.9948,0.747,0.8552,0.936,0.967,0.9892,0.9946,0.9079,0.9495,test
Sorghum_Olympus_Exp88_N3_22,Sorghum,Olympus,Exp88,0.8174,0.8995,0.9351,0.9665,0.9905,0.9953,0.7863,0.8804,0.9369,0.9674,0.9906,0.9953,0.9095,0.9507,test
Sorghum_Olympus_Exp74_PDB143_01,Sorghum,Olympus,Exp74,0.8658,0.9281,0.9323,0.965,0.9913,0.9956,0.7455,0.8542,0.9246,0.9608,0.9881,0.994,0.9079,0.9496,test
Sorghum_Olympus_Exp88_N3_14,Sorghum,Olympus,Exp88,0.858,0.9236,0.9442,0.9713,0.9925,0.9962,0.7433,0.8527,0.9309,0.9642,0.9884,0.9942,0.9095,0.9504,test
Sorghum_Olympus_Exp100_LLC2960_11,Sorghum,Olympus,Exp100,0.8483,0.9179,0.9045,0.9498,0.9864,0.9932,0.7941,0.8852,0.9355,0.9667,0.9865,0.9932,0.9092,0.9510,test
